,price,quantity,aux_quantity,midprice,macd,sma,diff,change,type_A,type_M,type_T,side_A,side_B
8552,22750000000,226,0,22585000000.0,11711283.959804535,22571666666.666668,0.1903956953244934,-0.008064674285127854,1,0,0,1,0
8553,22410000000,226,0,22600000000.0,5319386.667098999,22566333333.333332,-0.21108767804230164,-0.008033904167203575,1,0,0,0,1
8554,22570000000,500,0,22600000000.0,-751101.5423126221,22579666666.666668,-0.030193266092617393,-0.00814447571954587,1,0,0,0,1
8555,22570000000,700,700,22625000000.0,-963006.9368934631,22587333333.333332,-0.058389308065715566,-0.00777281880278196,0,1,0,0,1
8556,22570000000,500,800,22625000000.0,556837.4230995178,22600000000.0,-0.058389308065715566,-0.008052462108932837,0,1,0,0,1
8557,22570000000,1200,0,22575000000.0,207600.95598983765,22599333333.333332,-0.0019347744141549848,-0.008138383053420298,1,0,0,0,1
8558,22590000000,200,0,22575000000.0,-2356661.8144073486,22572333333.333332,0.02070206783425433,-0.008126121826588404,1,0,0,1,0
8559,22580000000,1100,0,22585000000.0,-2103665.1889419556,22572666666.666668,-0.0019322686755854721,-0.008101572211464231,1,0,0,0,1
8560,22540000000,221,0,22585000000.0,-5790575.2911224365,22578666666.666668,-0.04718590726383666,-0.008064674285127854,1,0,0,0,1
8561,22630000000,300,0,22605000000.0,-3684404.7982444763,22580666666.666668,0.0319829361345575,-0.007990692598167256,1,0,0,1,0
8562,22340000000,904,0,22605000000.0,-23169707.155822754,22539333333.333332,-0.29581566371011864,-0.007847701879349264,1,0,0,0,1
8563,22810000000,226,0,22565000000.0,-13271514.73436737,22549000000.0,0.2811486437053889,-0.008150649711581907,1,0,0,1,0
8564,22390000000,226,0,22565000000.0,-21917062.238960266,22531000000.0,-0.19443571210736801,-0.008009049750447915,1,0,0,0,1
8565,22580000000,1400,0,22635000000.0,-19281121.279956818,22531000000.0,-0.0583618666059336,-0.008064783104450642,1,0,0,0,1
8566,22610000000,700,0,22635000000.0,-7744031.148376465,22539666666.666668,-0.02449661055836166,-0.008107725893942826,1,0,0,1,0
8567,22810000000,226,0,22600000000.0,1066749.4775047302,22547333333.333332,0.24114835183190336,-0.008089300123176655,1,0,0,1,0
8568,22590000000,500,0,22600000000.0,4277556.298381805,22532666666.666668,-0.007581464598907568,-0.008107716408016274,1,0,0,0,1
8569,22600000000,200,0,22595000000.0,5742176.65127182,22533333333.333332,0.00937863745086617,-0.008175047604432377,1,0,0,1,0
8570,22590000000,400,0,22595000000.0,30168600.07180786,22583666666.666668,-0.0019297651549714811,-0.00809543752665676,1,0,0,0,1
8571,22560000000,100,0,22600000000.0,27352082.894981384,22583000000.0,-0.04149916683947231,-0.008058551881400915,1,0,0,0,1
8572,22640000000,221,0,22600000000.0,22100985.419151306,22620000000.0,0.048948039135366994,-0.00817503409496939,1,0,0,1,0
8573,22580000000,400,0,22595000000.0,20484742.20944214,22619666666.666668,-0.013238167760811971,-0.008101577647605752,1,0,0,0,1
8574,22620000000,400,0,22595000000.0,16287343.441436768,22622000000.0,0.03199544266254147,-0.008138361356921227,1,0,0,1,0
8575,22590000000,1800,100,22590000000.0,15276047.681304932,22622000000.0,0.0037244361479473443,-0.0081506090396384,0,0,1,0,1
8576,22320000000,226,0,22590000000.0,-10139677.199748993,22607000000.0,-0.3016700143049532,-0.007841268909848334,1,0,0,0,1
8577,22690000000,700,700,22635000000.0,-6456554.788276672,22610000000.0,0.06581073890182829,-0.007823073807753473,0,1,0,1,0
8578,22340000000,452,0,22635000000.0,-28413413.19378662,22582333333.333332,-0.3292839149865063,-0.0077415661358055275,1,0,0,0,1
8579,22810000000,226,0,22565000000.0,-19018245.149982452,22589333333.333332,0.2811486437053889,-0.008113849737097079,1,0,0,1,0
8580,22580000000,200,0,22565000000.0,-24059159.149066925,22580000000.0,0.02070959171268866,-0.008144523170160553,1,0,0,0,1
8581,22580000000,500,0,22585000000.0,-22230018.6999588,22579666666.666668,-0.0019322686755854721,-0.008119984423709776,1,0,0,0,1
8582,22580000000,200,0,22585000000.0,-11379395.485874176,22577333333.333332,-0.0019322686755854721,-0.008248188426358027,1,0,0,0,1
8583,22580000000,1400,0,22595000000.0,-10448324.807918549,22539333333.333332,-0.013238167760811971,-0.008101577647605752,1,0,0,0,1
8584,22590000000,600,0,22595000000.0,-702714.4582443237,22558000000.0,-0.0019297651549714811,-0.008027716285903699,1,0,0,0,1
8585,22590000000,500,0,22610000000.0,-316618.42141342163,22558333333.333332,-0.01887736454899512,-0.008144462189180308,1,0,0,0,1
8586,22610000000,700,700,22610000000.0,-11815199.64609909,22599666666.666668,0.0037244361479473443,-0.008132225326566354,0,1,0,1,0
8587,22810000000,226,0,22700000000.0,-3855449.1022338867,22607333333.333332,0.12754148133156762,-0.00795420654546658,1,0,0,1,0
8588,22730000000,500,0,22700000000.0,6769305.469028473,22618333333.333332,0.037492721198026636,-0.005603850740750486,1,0,0,1,0
8589,22590000000,1400,0,22645000000.0,5995934.124763489,22618333333.333332,-0.05833444938237225,-0.007760575742324967,1,0,0,0,1
8590,22590000000,700,0,22645000000.0,18093432.439380646,22651333333.333332,-0.05833444938237225,-0.008003254025704749,1,0,0,0,1
8591,22610000000,200,0,22595000000.0,16152141.712150574,22647333333.333332,0.02068704005670382,-0.008144482489214847,1,0,0,1,0
8592,22900000000,226,0,22595000000.0,20068044.359970093,22646666666.666668,0.34863071562602976,-0.008132237517359898,1,0,0,1,0
8593,22680000000,200,0,22635000000.0,19938862.35847473,22649666666.666668,0.054522320219302416,-0.00787299767592727,1,0,0,1,0
