,price,quantity,aux_quantity,midprice,type_A,type_M,type_T,side_A,side_B
14484,22580000000,3200,0,22570000000.0,1,0,0,1,0
14485,22580000000,3200,0,22555000000.0,1,0,0,1,0
14486,22570000000,400,400,22555000000.0,0,1,0,0,1
14487,22550000000,400,0,22580000000.0,1,0,0,0,1
14488,22570000000,100,0,22580000000.0,1,0,0,0,1
14489,22570000000,400,0,22585000000.0,1,0,0,0,1
14490,22570000000,200,0,22585000000.0,1,0,0,0,1
14491,22590000000,500,0,22545000000.0,1,0,0,1,0
14492,22530000000,400,400,22545000000.0,0,1,0,0,1
14493,22580000000,1300,3300,22575000000.0,0,0,1,1,0
14494,22570000000,3200,0,22575000000.0,1,0,0,0,1
14495,22570000000,3200,0,22590000000.0,1,0,0,0,1
14496,22580000000,100,0,22590000000.0,1,0,0,1,0
14497,22580000000,200,3100,22575000000.0,0,0,1,1,0
14498,22570000000,3900,0,22575000000.0,1,0,0,0,1
14499,22570000000,3200,0,22585000000.0,1,0,0,0,1
14500,22620000000,400,0,22585000000.0,1,0,0,1,0
14501,22540000000,22,0,22600000000.0,1,0,0,0,1
14502,24060000000,100,0,22600000000.0,1,0,0,1,0
14503,22540000000,221,0,22565000000.0,1,0,0,0,1
14504,22580000000,100,0,22565000000.0,1,0,0,0,1
14505,22590000000,3200,0,22495000000.0,1,0,0,1,0
14506,22400000000,300,0,22495000000.0,1,0,0,0,1
14507,22590000000,3200,0,22585000000.0,1,0,0,1,0
14508,22570000000,100,0,22585000000.0,1,0,0,0,1
14509,22540000000,400,400,22565000000.0,0,1,0,0,1
14510,22640000000,100,0,22565000000.0,1,0,0,1,0
14511,22590000000,3200,0,22585000000.0,1,0,0,1,0
14512,22580000000,400,0,22585000000.0,1,0,0,0,1
14513,22560000000,400,0,22590000000.0,1,0,0,0,1
14514,22580000000,200,0,22590000000.0,1,0,0,0,1
14515,22580000000,200,0,22585000000.0,1,0,0,0,1
14516,22580000000,900,0,22585000000.0,1,0,0,0,1
14517,22580000000,300,0,22595000000.0,1,0,0,0,1
14518,22580000000,1100,0,22595000000.0,1,0,0,0,1
14519,22590000000,300,600,22585000000.0,0,1,0,1,0
14520,22580000000,200,0,22585000000.0,1,0,0,0,1
14521,22580000000,200,0,22600000000.0,1,0,0,0,1
14522,22530000000,200,0,22600000000.0,1,0,0,0,1
14523,22580000000,3200,0,22585000000.0,1,0,0,0,1
14524,22430000000,900,900,22585000000.0,0,1,0,0,1
14525,22560000000,200,0,22625000000.0,1,0,0,0,1
14526,22580000000,300,0,22625000000.0,1,0,0,0,1
14527,22580000000,3200,0,22595000000.0,1,0,0,0,1
14528,22580000000,400,0,22595000000.0,1,0,0,0,1
14529,22590000000,532,1168,22585000000.0,0,0,1,1,0
14530,22580000000,500,1200,22585000000.0,0,1,0,0,1
14531,22580000000,3200,0,22595000000.0,1,0,0,0,1
14532,21240000000,100,0,22595000000.0,1,0,0,0,1
14533,22590000000,200,0,22635000000.0,1,0,0,0,1
14534,23510000000,100,0,22635000000.0,1,0,0,1,0
14535,22520000000,100,0,22595000000.0,1,0,0,0,1
14536,21120000000,100,0,22595000000.0,1,0,0,0,1
14537,22610000000,400,0,22600000000.0,1,0,0,1,0
14538,22590000000,1000,0,22600000000.0,1,0,0,0,1
14539,22550000000,22,0,22595000000.0,1,0,0,0,1
14540,22590000000,100,0,22595000000.0,1,0,0,0,1
14541,22570000000,400,0,22600000000.0,1,0,0,0,1
14542,22660000000,100,0,22600000000.0,1,0,0,1,0
14543,22520000000,200,0,22560000000.0,1,0,0,0,1
14544,22600000000,419,0,22560000000.0,1,0,0,1,0
14545,22590000000,165,35,22595000000.0,0,0,1,0,1
14546,22650000000,100,0,22595000000.0,1,0,0,1,0
14547,22600000000,200,0,22575000000.0,1,0,0,1,0
14548,22590000000,200,0,22575000000.0,1,0,0,0,1
14549,22590000000,500,0,22595000000.0,1,0,0,0,1
14550,22600000000,419,0,22595000000.0,1,0,0,1,0
14551,22540000000,200,0,22600000000.0,1,0,0,0,1
14552,22590000000,300,0,22600000000.0,1,0,0,0,1
14553,22590000000,300,0,22595000000.0,1,0,0,0,1
14554,22650000000,300,0,22595000000.0,1,0,0,1,0
14555,22590000000,300,0,22620000000.0,1,0,0,0,1
14556,22590000000,1000,0,22620000000.0,1,0,0,0,1
14557,22640000000,400,400,22615000000.0,0,1,0,1,0
14558,22590000000,3200,0,22615000000.0,1,0,0,0,1
14559,22590000000,3200,0,22610000000.0,1,0,0,0,1
14560,22600000000,609,3637,22610000000.0,0,0,1,1,0
14561,22590000000,3200,0,22600000000.0,1,0,0,0,1
14562,22600000000,200,0,22600000000.0,1,0,0,1,0
14563,22600000000,400,0,22550000000.0,1,0,0,1,0
14564,22600000000,500,0,22550000000.0,1,0,0,1,0
14565,22600000000,300,300,22575000000.0,0,1,0,1,0
14566,22600000000,500,0,22575000000.0,1,0,0,1,0
14567,22600000000,3200,0,22590000000.0,1,0,0,1,0
14568,22600000000,200,0,22590000000.0,1,0,0,1,0
14569,22570000000,500,0,22585000000.0,1,0,0,0,1
14570,22590000000,400,0,22585000000.0,1,0,0,0,1
14571,22580000000,400,0,22590000000.0,1,0,0,0,1
14572,22580000000,400,400,22590000000.0,0,1,0,0,1
14573,22600000000,3200,0,22570000000.0,1,0,0,1,0
14574,22550000000,200,0,22570000000.0,1,0,0,0,1
14575,22580000000,400,400,22595000000.0,0,1,0,0,1
14576,22600000000,600,0,22595000000.0,1,0,0,1,0
14577,22630000000,300,300,22610000000.0,0,1,0,1,0
14578,22590000000,600,0,22610000000.0,1,0,0,0,1
14579,22590000000,3200,0,22595000000.0,1,0,0,0,1
14580,22590000000,3200,0,22595000000.0,1,0,0,0,1
14581,22590000000,3200,0,22620000000.0,1,0,0,0,1
14582,22610000000,400,400,22620000000.0,0,1,0,1,0
14583,22610000000,500,0,22600000000.0,1,0,0,1,0
14584,22610000000,500,0,22600000000.0,1,0,0,1,0
14585,22590000000,500,0,22615000000.0,1,0,0,0,1
14586,22590000000,1000,0,22615000000.0,1,0,0,0,1
14587,22600000000,1752,1787,22595000000.0,0,1,0,1,0
14588,22580000000,5000,0,22595000000.0,1,0,0,0,1
14589,22590000000,3200,0,22600000000.0,1,0,0,0,1
14590,22600000000,100,300,22600000000.0,0,1,0,1,0
14591,22590000000,600,0,22595000000.0,1,0,0,0,1
14592,22590000000,3200,0,22595000000.0,1,0,0,0,1
14593,22590000000,3200,0,22605000000.0,1,0,0,0,1
14594,22590000000,300,0,22605000000.0,1,0,0,0,1
14595,22590000000,5400,0,22595000000.0,1,0,0,0,1
14596,22590000000,5400,0,22595000000.0,1,0,0,0,1
14597,22610000000,400,0,22600000000.0,1,0,0,1,0
14598,22590000000,5500,0,22600000000.0,1,0,0,0,1
14599,22600000000,215,285,22595000000.0,0,0,1,1,0
14600,22590000000,300,0,22595000000.0,1,0,0,0,1
14601,22630000000,700,0,22610000000.0,1,0,0,1,0
14602,22590000000,300,0,22610000000.0,1,0,0,0,1
14603,22590000000,1000,0,22620000000.0,1,0,0,0,1
14604,22600000000,100,0,22620000000.0,1,0,0,1,0
14605,22600000000,100,0,22595000000.0,1,0,0,1,0
14606,22590000000,500,0,22595000000.0,1,0,0,0,1
14607,22590000000,400,0,22605000000.0,1,0,0,0,1
14608,22590000000,400,0,22605000000.0,1,0,0,0,1
14609,22590000000,300,0,22595000000.0,1,0,0,0,1
14610,22590000000,600,0,22595000000.0,1,0,0,0,1
14611,22590000000,3900,0,22605000000.0,1,0,0,0,1
14612,22590000000,400,0,22605000000.0,1,0,0,0,1
14613,22590000000,1000,0,22595000000.0,1,0,0,0,1
14614,22590000000,300,0,22595000000.0,1,0,0,0,1
14615,22610000000,300,0,22600000000.0,1,0,0,1,0
14616,22590000000,400,0,22600000000.0,1,0,0,0,1
14617,22590000000,4500,0,22605000000.0,1,0,0,0,1
14618,22600000000,500,1500,22605000000.0,0,0,1,1,0
14619,22610000000,400,400,22595000000.0,0,1,0,1,0
14620,22590000000,6500,0,22595000000.0,1,0,0,0,1
14621,22620000000,500,0,22605000000.0,1,0,0,1,0
14622,22590000000,400,0,22605000000.0,1,0,0,0,1
14623,22590000000,3200,0,22600000000.0,1,0,0,0,1
14624,21470000000,100,100,22600000000.0,0,1,0,0,1
14625,22590000000,200,0,22605000000.0,1,0,0,0,1
14626,22590000000,400,0,22605000000.0,1,0,0,0,1
14627,22590000000,3200,0,22600000000.0,1,0,0,0,1
14628,22600000000,400,0,22600000000.0,1,0,0,0,1
14629,22610000000,300,0,22605000000.0,1,0,0,1,0
14630,22600000000,100,0,22605000000.0,1,0,0,0,1
14631,22650000000,400,400,22625000000.0,0,1,0,1,0
14632,22600000000,700,700,22625000000.0,0,1,0,0,1
14633,22590000000,900,0,22605000000.0,1,0,0,0,1
14634,22560000000,300,0,22605000000.0,1,0,0,0,1
14635,22540000000,200,0,22575000000.0,1,0,0,0,1
14636,22610000000,819,0,22575000000.0,1,0,0,1,0
14637,22610000000,3200,0,22560000000.0,1,0,0,1,0
14638,22610000000,819,0,22560000000.0,1,0,0,1,0
14639,22600000000,24,476,22605000000.0,0,0,1,0,1
14640,22610000000,800,0,22605000000.0,1,0,0,1,0
14641,22610000000,100,0,22600000000.0,1,0,0,1,0
14642,22600000000,500,0,22600000000.0,1,0,0,1,0
14643,22600000000,100,8200,22595000000.0,0,0,1,1,0
14644,22590000000,1000,0,22595000000.0,1,0,0,0,1
14645,22590000000,900,0,22680000000.0,1,0,0,0,1
14646,22610000000,500,0,22680000000.0,1,0,0,1,0
14647,22600000000,300,0,22595000000.0,1,0,0,1,0
14648,22600000000,400,0,22595000000.0,1,0,0,1,0
14649,22600000000,3400,0,22590000000.0,1,0,0,1,0
14650,22600000000,3400,0,22590000000.0,1,0,0,1,0
14651,22600000000,3400,0,22550000000.0,1,0,0,1,0
14652,22590000000,1000,0,22550000000.0,1,0,0,0,1
14653,22650000000,400,400,22595000000.0,0,1,0,1,0
14654,22600000000,200,200,22595000000.0,0,0,1,1,0
14655,22590000000,900,0,22600000000.0,1,0,0,0,1
14656,22590000000,1100,0,22600000000.0,1,0,0,0,1
14657,22600000000,300,800,22605000000.0,0,0,1,0,1
14658,22600000000,3400,0,22605000000.0,1,0,0,1,0
14659,22600000000,3400,0,22585000000.0,1,0,0,1,0
14660,22600000000,300,0,22585000000.0,1,0,0,1,0
14661,22550000000,400,400,22575000000.0,0,1,0,0,1
14662,22600000000,700,0,22575000000.0,1,0,0,1,0
14663,22580000000,500,0,22600000000.0,1,0,0,0,1
14664,22560000000,1000,0,22600000000.0,1,0,0,0,1
14665,22500000000,700,700,22550000000.0,0,1,0,0,1
14666,22520000000,200,0,22550000000.0,1,0,0,0,1
14667,22590000000,700,700,22595000000.0,0,1,0,0,1
14668,22590000000,600,0,22595000000.0,1,0,0,0,1
14669,22600000000,3400,0,22575000000.0,1,0,0,1,0
14670,22600000000,3400,0,22575000000.0,1,0,0,1,0
14671,22500000000,700,700,22550000000.0,0,1,0,0,1
14672,22500000000,1200,0,22550000000.0,1,0,0,0,1
14673,22600000000,3400,0,22590000000.0,1,0,0,1,0
14674,22600000000,3400,0,22590000000.0,1,0,0,1,0
14675,22600000000,3400,0,22585000000.0,1,0,0,1,0
14676,22630000000,22,0,22585000000.0,1,0,0,1,0
14677,22560000000,108,0,22610000000.0,1,0,0,0,1
14678,22580000000,700,700,22610000000.0,0,1,0,0,1
14679,22580000000,200,0,22585000000.0,1,0,0,0,1
14680,22570000000,200,0,22585000000.0,1,0,0,0,1
14681,22580000000,3400,0,22595000000.0,1,0,0,0,1
14682,22580000000,1000,0,22595000000.0,1,0,0,0,1
14683,22600000000,400,400,22590000000.0,0,1,0,1,0
14684,22580000000,600,900,22590000000.0,0,1,0,0,1
14685,22590000000,300,0,22585000000.0,1,0,0,1,0
14686,22580000000,400,0,22585000000.0,1,0,0,0,1
14687,22580000000,300,0,22610000000.0,1,0,0,0,1
14688,22580000000,3400,0,22610000000.0,1,0,0,0,1
14689,22580000000,300,0,22595000000.0,1,0,0,0,1
14690,22590000000,600,0,22595000000.0,1,0,0,0,1
14691,22590000000,300,300,22615000000.0,0,1,0,0,1
14692,22520000000,200,0,22615000000.0,1,0,0,0,1
14693,22590000000,400,0,22595000000.0,1,0,0,0,1
14694,22600000000,100,819,22595000000.0,0,1,0,1,0
14695,22600000000,3400,0,22590000000.0,1,0,0,1,0
14696,22580000000,500,0,22590000000.0,1,0,0,0,1
14697,22560000000,200,0,22595000000.0,1,0,0,0,1
14698,22590000000,1100,0,22595000000.0,1,0,0,0,1
14699,22590000000,3400,0,22605000000.0,1,0,0,0,1
14700,22590000000,3400,0,22605000000.0,1,0,0,0,1
14701,22590000000,200,0,22645000000.0,1,0,0,0,1
14702,22670000000,100,0,22645000000.0,1,0,0,1,0
14703,22580000000,200,0,22620000000.0,1,0,0,0,1
14704,22600000000,100,0,22620000000.0,1,0,0,1,0
14705,22480000000,1600,0,22595000000.0,1,0,0,0,1
14706,22590000000,3600,0,22595000000.0,1,0,0,0,1
14707,22590000000,3600,0,22620000000.0,1,0,0,0,1
14708,22570000000,1100,0,22620000000.0,1,0,0,0,1
14709,22600000000,600,0,22595000000.0,1,0,0,1,0
14710,22590000000,3600,0,22595000000.0,1,0,0,0,1
14711,22590000000,3600,0,22620000000.0,1,0,0,0,1
14712,22590000000,100,0,22620000000.0,1,0,0,0,1
14713,22590000000,800,0,22600000000.0,1,0,0,0,1
14714,22600000000,1000,0,22600000000.0,1,0,0,0,1
14715,22610000000,400,400,22605000000.0,0,1,0,1,0
14716,22600000000,3600,0,22605000000.0,1,0,0,0,1
14717,22600000000,1200,0,22610000000.0,1,0,0,0,1
14718,22640000000,200,0,22610000000.0,1,0,0,1,0
14719,22600000000,3600,0,22630000000.0,1,0,0,0,1
14720,22580000000,1100,0,22630000000.0,1,0,0,0,1
14721,22600000000,700,700,22620000000.0,0,1,0,0,1
14722,22660000000,400,400,22620000000.0,0,1,0,1,0
14723,22600000000,1000,0,22605000000.0,1,0,0,0,1
14724,22600000000,300,0,22605000000.0,1,0,0,0,1
14725,22600000000,5300,0,22635000000.0,1,0,0,0,1
14726,22600000000,100,0,22635000000.0,1,0,0,0,1
14727,22610000000,600,0,22620000000.0,1,0,0,0,1
14728,22600000000,200,0,22620000000.0,1,0,0,0,1
14729,22550000000,400,0,22650000000.0,1,0,0,0,1
14730,21480000000,100,100,22650000000.0,0,1,0,0,1
14731,22620000000,200,0,22615000000.0,1,0,0,1,0
14732,22610000000,200,200,22615000000.0,0,1,0,0,1
14733,22600000000,200,0,22610000000.0,1,0,0,0,1
14734,22610000000,1000,0,22610000000.0,1,0,0,0,1
14735,22620000000,400,0,22595000000.0,1,0,0,1,0
14736,22610000000,600,1000,22595000000.0,0,1,0,0,1
14737,22610000000,2000,0,22615000000.0,1,0,0,0,1
14738,22580000000,600,0,22615000000.0,1,0,0,0,1
14739,22590000000,400,0,22620000000.0,1,0,0,0,1
14740,22670000000,100,0,22620000000.0,1,0,0,1,0
14741,22620000000,200,0,22610000000.0,1,0,0,1,0
14742,22620000000,300,300,22610000000.0,0,1,0,1,0
14743,22620000000,3600,0,22615000000.0,1,0,0,1,0
14744,22620000000,3600,0,22615000000.0,1,0,0,1,0
14745,22510000000,200,0,22570000000.0,1,0,0,0,1
14746,22610000000,200,0,22570000000.0,1,0,0,0,1
14747,22670000000,300,0,22640000000.0,1,0,0,1,0
14748,22610000000,1000,0,22640000000.0,1,0,0,0,1
14749,22610000000,3600,0,22620000000.0,1,0,0,0,1
14750,22630000000,500,0,22620000000.0,1,0,0,1,0
14751,22640000000,700,0,22625000000.0,1,0,0,1,0
14752,22520000000,700,700,22625000000.0,0,1,0,0,1
14753,22620000000,3600,0,22610000000.0,1,0,0,1,0
14754,22620000000,500,0,22610000000.0,1,0,0,1,0
14755,22570000000,400,400,22595000000.0,0,1,0,0,1
14756,22720000000,100,0,22595000000.0,1,0,0,1,0
14757,22610000000,3600,0,22615000000.0,1,0,0,0,1
14758,22610000000,500,0,22615000000.0,1,0,0,0,1
14759,22610000000,3600,0,22640000000.0,1,0,0,0,1
14760,22700000000,100,0,22640000000.0,1,0,0,1,0
